gva_id,url,isbn,issn,doi,pmid,sici,type,title,author,organization,first_published,last_updated,transferred_by,fact_check1,fact_check2,fact_check3
2112607,https://www.ajc.com/news/3-sought-in-mans-shooting-outside-sw-atlanta-gas-station/Q3KTKYDHQ5DODC3HHYTK2QLHPY/,,,,,,website,3 sought in man’s shooting outside SW Atlanta gas station,Shaddi Abusaid,The Atlanta Journal-Constitution,2021-09-10,,,,,
2002687,https://www.wrcbtv.com/story/43877410/cpd-investigating-tripleshooting-on-gillespie-road-separate-shooting-on-campbell-street,,,,,,website,"UPDATE: CPD investigating triple-shooting on Ridgeside Road, assault on Campbell Street",WRCB Staff,WRCB Channel 3 St Productions,2019-05-12T01:30Z,2019-05-13T18:43Z,Kevin Huang,,,
2002687,https://www.wrcbtv.com/story/43884092/two-killed-one-injured-in-ridgeside-road-shooting-chattanooga-pd-says,,,,,,,,,,,,Kevin Huang,,,
2002672,https://www.wtae.com/article/new-castle-reported-shooting/36414118#,,,,,,,,,,,,Karen Li,,,
2002672,https://www.wpxi.com/news/top-stories/police-2-killed-suspect-custody-new-castle-shooting/PYI3U4AGNFFOJNPDIVEE3ZSVAI/,,,,,,,,,,,,Karen Li,,,
2002672,https://www.ncnewsonline.com/news/local_news/two-dead-in-triple-shooting/article_ae3a234e-d75b-5ee4-ba3d-5efe38082924.html,,,,,,,,,,,,Karen Li,,,
2002672,https://www.ncnewsonline.com/news/local_news/police-suspect-tried-to-escape-after-shootings/article_6460901d-4173-50f1-8aeb-85aac02c05e9.html,,,,,,,,,,,,Karen Li,,,
2002269,https://6abc.com/gunman-opens-fire-on-philly-vigil-kingsessing-avenue-shooting-philadelphia-today/10624736/,,,,,,,,,,,,Karen Li,,,
2002269,https://www.fox29.com/news/kingsessing-shooting-leaves-1-dead-3-others-injured-police-say,,,,,,,,,,,,Karen Li,,,
2002269,https://www.nbcphiladelphia.com/news/local/gunman-shoots-at-least-3-people-in-southwest-philadelphia/2812204/,,,,,,,,,,,,Karen Li,,,
2002269,https://philadelphia.cbslocal.com/2021/05/13/man-killed-southwest-philadelphia-quadruple-shooting/,,,,,,,,,,,,Karen Li,,,
2002269,https://triblive.com/news/pennsylvania/gunman-opens-fire-at-memorial-site-killing-man-wounding-3/,,,,,,,,,,,,Karen Li,,,
2002614,https://www.krqe.com/news/crime/man-linked-to-triple-homicide-arrested/,,,,,,,,,,,,Karen Li,,,
2002614,https://www.abqjournal.com/2389930/apd-investigating-homicide-at-kaseman-hospital.html,,,,,,,,,,,,Karen Li,,,
2002614,https://www.kob.com/albuquerque-news/videos-show-shooting-person-of-interest-in-triple-homicide-investigation/6107123/?cat=500,,,,,,,,,,,,Karen Li,,,
2002614,https://www.abqjournal.com/2390419/security-video-shows-triple-homicide-shooting.html,,,,,,,,,,,,Karen Li,,,
2002614,https://www.kob.com/albuquerque-news/fbi-special-agent-believes-man-arrested-and-three-homicide-victims-all-members-of-aryan-brotherhood/6108981/?cat=516&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Kobcom-AlbuquerqueMetro+%28KOB.com+-+Albuq,,,,,,,,,,,,Karen Li,,,
2002614,https://www.kob.com/albuquerque-news/3rd-person-identified-in-kaseman-hospital-triple-homicide/6116100/?cat=500,,,,,,,,,,,,Karen Li,,,
2002614,https://www.justice.gov/usao-nm/pr/previously-convicted-felon-charged-federal-court-firearms-possession,,,,,,,,,,,,Karen Li,,,
2002286,https://www.gwinnettdailypost.com/local/quadruple-shooting-leaves-one-dead-at-buford-area-apartment-complex/article_591ba96c-b31b-11eb-b342-f7ceac7bae6f.html,,,,,,,,,,,,Karen Li,,,
2002286,https://www.ajc.com/news/2-dead-after-quadruple-shooting-at-buford-area-apartments/KPKPV4Q33BDUXJJGKD3MN565BE/,,,,,,,,,,,,Karen Li,,,
2002526,https://thetandd.com/news/local/crime-and-courts/two-men-killed-one-injured-in-orangeburg-investigation-continues-into-shootings/article_a9e2fd71-2ecf-56f6-84a8-e6dc848cbcfd.html,,,,,,,,,,,,Karen Li,,,
2002526,https://thetandd.com/news/local/crime-and-courts/orangeburg-county-officials-identify-two-men-shot-killed/article_294c4776-1955-554c-baea-95925bdb1e35.html,,,,,,,,,,,,Karen Li,,,
2124396,https://www.augustachronicle.com/story/news/2021/09/24/aiken-county-authorities-investigate-murder-suicide-apartments/5844881001/,,,,,,,,,,,,Sydney Uridel,,,
2124396,https://www.wrdw.com/2021/09/24/4-people-slain-aiken-shooting/,,,,,,,,,,,,Sydney Uridel,,,
2123395,https://www.fox13memphis.com/news/local/active-shooter-reported-collierville-kroger-officials-say/K4VFTTAFN5GMRBFAHRULX25KUM/?utm_campaign=snd-autopilot,,,,,,,,,,,,Sydney Uridel,,,
2123395,https://www.wsmv.com/news/reports-multiple-people-shot-at-kroger-near-memphis/article_926ca246-1ca4-11ec-a115-274f5cc6a047.html,,,,,,,,,,,,Sydney Uridel,,,
2123395,https://www.localmemphis.com/article/news/crime/reports-of-active-shooter-at-kroger-on-new-byhalia-road-in-collierville/522-e03f3483-9dc0-4cc0-9b00-a1a6574d63a5?fbclid=IwAR27vJNccBpuaEAdYTAh3bY0FuDf1SxzvwTLjs69YaeqDBC_X9adN5s2whU,,,,,,,,,,,,Sydney Uridel,,,
2123395, https://www.actionnews5.com/2021/09/23/active-shooting-situation-reported-collierville-schools-sheltering-plac,,,,,,,,,,,,Sydney Uridel,,,
2123395, https://abc7chicago.com/collierville-shooting-kroger-tn-memphis-news/11041589/,,,,,,,,,,,,Sydney Uridel,,,
2126261,https://www.king5.com/article/news/crime/des-moines-la-familia-sports-pub-and-lounge-fatal-shooting/281-d3a02af0-ca4c-4d4d-b5a7-0b6ea41e78f8,,,,,,,,,,,,Sydney Uridel,,,
2126261, https://www.q13fox.com/news/3-killed-3-injured-in-des-moines-bar-shooting,,,,,,,,,,,,Sydney Uridel,,,
2126212, https://www.wavy.com/news/local-news/norfolk/2-dead-1-seriously-injured-in-norfolk-shooting/,,,,,,,,,,,,Sydney Uridel,,,
2126212,https://www.13newsnow.com/article/news/crime/shooting-norfolk-home-two-dead-one-injured/291-8cd60d53-2e7e-46dc-b10d-6bb2c3a4b49e,,,,,,,,,,,,Sydney Uridel,,,
2125444, https://www.wate.com/news/4-dead-10-month-old-missing-after-shooting-in-mcminn-county/,,,,,,,,,,,,Sydney Uridel,,,
2125444, https://www.wbir.com/article/news/crime/mcso-four-dead-and-10-month-old-missing-after-shooting-in-mcminn-co-near-riceville/51-6a2fb042-9d06-4cf4-8449-06df557eea13,,,,,,,,,,,,Sydney Uridel,,,
2120940, https://6abc.com/philadelphia-shooting-today-fern-rock-pa/11033242/,,,,,,,,,,,,Sydney Uridel,,,
2120940, https://www.myplainview.com/news/article/Police-1-dead-5-wounded-in-drive-by-shooting-16473925.php,,,,,,,,,,,,Sydney Uridel,,,
2120940, https://www.nbcphiladelphia.com/news/local/6-shot-in-philadelphias-fern-rock-neighborhood/2965209/,,,,,,,,,,,,Sydney Uridel,,,
2120940, https://philadelphia.cbslocal.com/2021/09/20/philadelphia-shooting-olney-broad-street-chew-avenue-police/,,,,,,,,,,,,Sydney Uridel,,,
2120940," https://www.fox29.com/news/6-shot-1-killed-after-fern-rock-drive-by-shooting-police-say",,,,,,,,,,,,Sydney Uridel,,,
2120940, https://6abc.com/philadelphia-shooting-today-fern-rock-pa/11035629/,,,,,,,,,,,,Sydney Uridel,,,
2119583, https://13wham.com/news/local/two-killed-two-injured-in-driving-park-avenue-shooting,,,,,,,,,,,,Sydney Uridel,,,
2119583, https://www.whec.com/rochester-new-york-news/presumptive-mayor-elect-malik-evans-on-quadruple-shooting-on-driving-park-avenue/6242900/,,,,,,,,,,,,Sydney Uridel,,,
2119583, https://www.whec.com/rochester-new-york-news/rpd-2-dead-2-injured-in-shooting-on-driving-park/6242637/?cat=565,,,,,,,,,,,,Sydney Uridel,,,
2119583,: https://www.democratandchronicle.com/story/news/2021/09/20/driving-park-ave-shooing-rochester-ny-what-we-know-now/8416605002/,,,,,,,,,,,,Sydney Uridel,,,
2001682,https://philadelphia.cbslocal.com/2021/05/11/13-year-old-allentown-triple-shooting-lehigh-street/,,,,,,,,,,,,Karen Li,,,
